2012-10-20 17:02:12 Debug: Something did not work
2012-10-20 17:03:16 Debug: Something did not work
2012-10-20 17:03:57 Debug: 
2012-10-20 23:04:23 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 23:04:28 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 23:04:45 Notice: Notice (8): Use of undefined constant APP_LINK - assumed 'APP_LINK' in [/home/appslanz/public_html/supermama/app/models/facebook_m.php, line 31]
2012-10-20 23:04:55 Notice: Notice (8): ob_clean() [<a href='ref.outcontrol'>ref.outcontrol</a>]: failed to delete buffer. No buffer to delete in [/home/appslanz/public_html/supermama/app/controllers/fotos_controller.php, line 181]
2012-10-20 23:04:56 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 23:05:12 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 23:05:16 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 23:06:43 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 23:06:49 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 23:07:51 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 23:08:04 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 23:08:08 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 23:09:46 Notice: Notice (8): Undefined index: es_cliente in [/home/appslanz/public_html/supermama/app/views/usuarios/add.ctp, line 63]
2012-10-20 23:10:57 Notice: Notice (8): Undefined index: count in [/home/appslanz/public_html/supermama/app/views/fotos/albums.ctp, line 54]
2012-10-20 23:10:57 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 23:11:23 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 23:16:09 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 23:16:29 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
